cohort_date,cohort_size,retained_d1,retained_d7,retained_d14,retained_d30,d1_retention,d7_retention,d14_retention,d30_retention,avg_level_gain_7d,avg_active_days_7d,avg_observations_7d
2007-06-07,87,24,7,5,3,0.27586206896551724,0.08045977011494253,0.05747126436781609,0.034482758620689655,3.5172413793103448,1.8850574712643677,22.620689655172413
2007-06-08,88,20,7,6,4,0.22727272727272727,0.07954545454545454,0.06818181818181818,0.045454545454545456,3.8295454545454546,1.9659090909090908,34.0
2007-06-09,136,36,9,6,5,0.2647058823529412,0.0661764705882353,0.04411764705882353,0.03676470588235294,2.4338235294117645,1.6544117647058822,16.375
2007-06-10,143,30,9,8,3,0.2097902097902098,0.06293706293706294,0.055944055944055944,0.02097902097902098,3.5244755244755246,1.7202797202797202,19.342657342657343
2007-06-11,147,28,12,4,4,0.19047619047619047,0.08163265306122448,0.027210884353741496,0.027210884353741496,2.54421768707483,1.7346938775510203,15.857142857142858
2007-06-12,75,15,10,7,5,0.2,0.13333333333333333,0.09333333333333334,0.06666666666666667,3.2933333333333334,2.0,22.746666666666666
2007-06-13,106,15,8,7,8,0.14150943396226415,0.07547169811320754,0.0660377358490566,0.07547169811320754,2.207547169811321,1.5943396226415094,18.17924528301887
2007-06-14,63,22,8,2,1,0.3492063492063492,0.12698412698412698,0.031746031746031744,0.015873015873015872,3.492063492063492,2.238095238095238,25.58730158730159
2007-06-15,104,23,7,6,7,0.22115384615384615,0.0673076923076923,0.057692307692307696,0.0673076923076923,2.875,1.7211538461538463,18.057692307692307
2007-06-16,113,24,12,5,4,0.21238938053097345,0.10619469026548672,0.04424778761061947,0.035398230088495575,3.831858407079646,1.8938053097345133,28.86725663716814
2007-06-17,150,37,13,10,7,0.24666666666666667,0.08666666666666667,0.06666666666666667,0.04666666666666667,2.973333333333333,1.6666666666666667,17.36
2007-06-18,96,26,8,6,3,0.2708333333333333,0.08333333333333333,0.0625,0.03125,3.5416666666666665,1.8541666666666667,19.84375
2007-06-19,107,25,7,8,5,0.2336448598130841,0.06542056074766354,0.07476635514018691,0.04672897196261682,3.2429906542056073,1.8691588785046729,20.710280373831775
2007-06-20,78,15,6,11,6,0.19230769230769232,0.07692307692307693,0.14102564102564102,0.07692307692307693,2.5128205128205128,1.794871794871795,14.628205128205128
2007-06-21,71,6,1,3,1,0.08450704225352113,0.014084507042253521,0.04225352112676056,0.014084507042253521,1.9154929577464788,1.4225352112676057,8.661971830985916
2007-06-22,67,24,4,3,3,0.3582089552238806,0.05970149253731343,0.04477611940298507,0.04477611940298507,2.8656716417910446,1.9104477611940298,23.074626865671643
2007-06-23,106,31,14,11,10,0.29245283018867924,0.1320754716981132,0.10377358490566038,0.09433962264150944,3.830188679245283,2.0660377358490565,30.056603773584907
2007-06-24,101,32,11,12,5,0.31683168316831684,0.10891089108910891,0.1188118811881188,0.04950495049504951,4.445544554455446,2.3267326732673266,25.623762376237625
2007-06-25,115,34,9,7,5,0.2956521739130435,0.0782608695652174,0.06086956521739131,0.043478260869565216,3.617391304347826,1.9478260869565218,21.94782608695652
2007-06-26,336,50,20,18,7,0.1488095238095238,0.05952380952380952,0.05357142857142857,0.020833333333333332,3.1666666666666665,1.4910714285714286,14.139880952380953
2007-06-27,134,21,6,5,0,0.15671641791044777,0.04477611940298507,0.03731343283582089,0.0,2.611940298507463,1.4477611940298507,11.462686567164178
2007-06-28,104,29,5,6,6,0.27884615384615385,0.04807692307692308,0.057692307692307696,0.057692307692307696,3.5961538461538463,1.9134615384615385,22.682692307692307
2007-06-29,178,31,8,4,7,0.17415730337078653,0.0449438202247191,0.02247191011235955,0.03932584269662921,2.50561797752809,1.5898876404494382,14.634831460674157
2007-06-30,133,29,9,7,2,0.21804511278195488,0.06766917293233082,0.05263157894736842,0.015037593984962405,2.6240601503759398,1.6165413533834587,15.24812030075188
2007-07-01,122,25,19,11,5,0.20491803278688525,0.1557377049180328,0.09016393442622951,0.040983606557377046,3.459016393442623,1.8032786885245902,19.18032786885246
2007-07-02,134,40,7,2,4,0.29850746268656714,0.05223880597014925,0.014925373134328358,0.029850746268656716,3.7611940298507465,1.708955223880597,21.01492537313433
2007-07-03,130,33,10,9,5,0.25384615384615383,0.07692307692307693,0.06923076923076923,0.038461538461538464,3.769230769230769,1.7692307692307692,20.476923076923075
2007-07-04,103,25,8,7,5,0.24271844660194175,0.07766990291262135,0.06796116504854369,0.04854368932038835,3.9514563106796117,1.883495145631068,25.281553398058254
